 ลำดับ, ชื่อท้องถิ่น, อำเภอ, จังหวัด, พื้นที่ (ตร.กม.), ปชก.ณ 30กันยายน62, ภาษีที่ดินและสิ่งปลูกสร้าง, ภาษีโรงเรือนและที่ดิน, ภาษีบำรุงท้องที่, ภาษีป้าย, อากรการฆ่าสัตว์, อากรรังนกอีแอ่น, ภาษีบำรุง อบจ. จากสถานค้าปลีกยาสูบ, ภาษีบำรุง อบจ. จากสถานค้าปลีกน้ำมัน, ค่าธรรมเนียมบำรุง อบจ. จากผู้เข้าพักโรงแรม, ค่าธรรมเนียม, ทรัพย์สิน, สาธารณูปโภค, เบ็ดเตล็ด, รวมรายได้จัดเก็บเอง, ภาษีและค่าธรรมเนียมรถยนต์หรือล้อเลื่อน, -  ภาษีมูลค่าเพิ่มที่จัดเก็บตามประมวลรัษฎากร 5%(อบจ),  - ภาษีมูลค่าเพิ่มตามกฎหมายท้องถิ่น,  - ภาษีมูลค่าเพิ่มตาม พ.ร.บ.กำหนดแผนฯ, ภาษีธุรกิจเฉพาะ, ภาษีสุรา, ภาษีสรรพสามิต, ภาษีการพนัน, ภาษียาสูบ, อากรประมง, ค่าภาคหลวงไม้, ค่าภาคหลวงแร่, ค่าภาคหลวงปิโตรเลียม, รายได้จากกฎหมายอุทยานแห่งชาติ, ค่าธรรมเนียมน้ำบาดาล, ค่าธรรมเนียมการจดทะเบียนสิทธิและนิติกรรมตามประมวลกฎหมายที่ดิน, ภาษีจัดสรรอื่น, รวมรายได้จากรัฐจัดสรร, เงินอุดหนุนทั่วไป, เงินอุดหนุนเฉพาะกิจ, รายได้จากเงินอุดหนุน, รวมรายได้ทั้งสิ้น
  282 , อบต.หนองผือ, เขาวง, กาฬสินธุ์,  25.00 ,"  5,774.00 ","  15,040.00 ",  -   ,  -   ,"  66,130.00 ",  -   ,  -   ,  -   ,  -   ,  -   ,"  139,100.00 ","  174,724.71 ",  -   ,"  21,215.00 ","  416,209.71 ","  285,339.31 ",  -   ,"  2,197,014.06 ","  8,428,599.65 ","  46,801.43 ",  -   ,"  4,376,265.39 ",  -   ,  -   ,  -   ,  -   ,"  36,513.17 ","  40,907.56 ",  -   ,"  4,099.10 ","  429,006.00 ","  4,240.12 ","  15,848,785.79 ","  19,266,757.00 ",  -   ,"  19,266,757.00 ","  35,531,752.50 "
  283 , อบต.ดินจี่, คำม่วง, กาฬสินธุ์,  96.00 ,"  7,231.00 ","  11,930.09 ","  5,570.00 ",  -   ,"  3,880.00 ",  -   ,  -   ,  -   ,  -   ,  -   ,"  22,248.50 ","  492,881.14 ","  4,559.00 ","  14,640.00 ","  555,708.73 ","  317,897.41 ",  -   ,"  2,731,465.51 ","  8,797,867.35 ","  6,767.84 ",  -   ,"  5,440,361.53 ",  -   ,  -   ,  -   ,  -   ,"  45,183.39 ","  48,306.53 ",  685.33 ,"  10,010.00 ","  115,010.00 ",  -   ,"  17,513,554.89 ","  24,979,726.00 ","  247,389.63 ","  25,227,115.63 ","  43,296,379.25 "
  284 , อบต.ทุ่งคลอง, คำม่วง, กาฬสินธุ์,  50.83 ,"  5,017.00 ",  993.83 ,  -   ,  174.00 ,"  25,301.88 ",  -   ,  -   ,  -   ,  -   ,  -   ,"  47,920.00 ","  72,528.24 ","  109,185.00 ","  80,131.00 ","  336,233.95 ","  267,813.40 ",  -   ,"  1,908,530.71 ","  7,867,442.88 ","  4,743.90 ",  -   ,"  3,801,522.17 ",  -   ,  -   ,  -   ,  -   ,"  31,671.19 ","  33,778.08 ",  -   ,"  1,040.00 ","  445,612.00 ",  -   ,"  14,362,154.33 ","  17,189,561.00 ",  -   ,"  17,189,561.00 ","  31,887,949.28 "
  285 , อบต.นาบอน, คำม่วง, กาฬสินธุ์,  97.50 ,"  6,745.00 ","  9,930.61 ",  -   ,  -   ,"  8,962.00 ",  -   ,  -   ,  -   ,  -   ,  -   ,"  19,619.91 ","  935,276.61 ",  -   ,"  143,850.00 ","  1,117,639.13 ","  306,675.27 ",  -   ,"  2,547,097.52 ","  8,660,925.35 ","  7,537.34 ",  -   ,"  5,073,211.94 ",  -   ,  -   ,  -   ,  -   ,"  42,161.09 ","  45,052.96 ",  685.33 ,  -   ,"  286,697.00 ","  10,650.00 ","  16,980,693.80 ","  25,712,597.36 ",  -   ,"  25,712,597.36 ","  43,810,930.29 "
  286 , อบต.เนินยาง, คำม่วง, กาฬสินธุ์,  34.41 ,"  5,209.00 ","  5,380.82 ",  975.00 ,  -   ,"  20,286.00 ",  -   ,  -   ,  -   ,  -   ,  -   ,"  7,269.00 ","  18,191.75 ","  379,196.00 ","  89,660.00 ","  520,958.57 ","  271,531.00 ",  -   ,"  1,969,805.99 ","  7,830,589.70 ","  4,900.45 ",  -   ,"  3,923,638.80 ",  -   ,  -   ,  -   ,  -   ,"  32,716.41 ","  34,869.68 ",  -   ,"  25,678.00 ","  286,905.00 ","  10,850.00 ","  14,391,485.03 ","  19,688,705.00 ",  -   ,"  19,688,705.00 ","  34,601,148.60 "
  287 , อบต.โพน, คำม่วง, กาฬสินธุ์,  38.34 ,"  2,848.00 ","  20,975.59 ",  175.00 ,  157.80 ,"  32,657.20 ","  3,188.00 ",  -   ,  -   ,  -   ,  -   ,"  111,295.50 ","  107,286.45 ","  175,476.00 ","  86,140.00 ","  537,351.54 ","  217,406.12 ",  -   ,"  1,079,398.75 ","  9,232,165.10 ","  2,677.52 ",  -   ,"  2,149,925.45 ",  -   ,  -   ,  -   ,  -   ,"  17,875.64 ","  19,094.56 ",  -   ,"  24,010.00 ","  264,341.00 ",  -   ,"  13,006,894.14 ","  11,412,928.00 ","  10,998.00 ","  11,423,926.00 ","  24,968,171.68 "
  288 , อบต.โคกสะอาด, ฆ้องชัย, กาฬสินธุ์,  35.00 ,"  7,519.00 ","  15,295.87 ",  -   ,  -   ,"  5,880.00 ",  -   ,  -   ,  -   ,  -   ,  -   ,"  106,861.00 ","  230,685.70 ","  406,006.07 ","  171,200.77 ","  935,929.41 ","  326,417.88 ",  -   ,"  2,871,862.37 ","  9,005,747.86 ","  7,125.28 ",  -   ,"  5,720,141.66 ",  -   ,  -   ,  -   ,  -   ,"  47,569.76 ","  50,805.58 ",  -   ,  -   ,"  1,341,000.00 ","  2,551.10 ","  19,373,221.49 ","  23,247,289.44 ","  5,880,631.00 ","  29,127,920.44 ","  49,437,071.34 "
  289 , อบต.โนนศิลาเลิง, ฆ้องชัย, กาฬสินธุ์,  70.00 ,"  4,484.00 ","  11,223.75 ",  -   ,  -   ,"  9,800.00 ",  -   ,  -   ,  -   ,  -   ,  -   ,"  161,230.00 ","  61,451.15 ","  400,735.00 ","  69,000.00 ","  713,439.90 ","  256,452.71 ",  -   ,"  1,721,486.51 ","  7,905,390.93 ","  4,272.34 ",  -   ,"  3,428,855.15 ",  -   ,  -   ,  -   ,  -   ,"  28,522.96 ","  30,456.51 ",  -   ,  -   ,"  552,447.00 ","  1,183.40 ","  13,929,067.51 ","  16,671,595.00 ",  -   ,"  16,671,595.00 ","  31,314,102.41 "
  290 , อบต.ลำชี, ฆ้องชัย, กาฬสินธุ์,  21.00 ,"  3,609.00 ","  5,328.13 ",  -   ,  -   ,"  8,480.00 ",  -   ,  -   ,  -   ,  -   ,  -   ,"  2,636.61 ","  99,501.08 ","  701,645.00 ","  11,900.00 ","  829,490.82 ","  236,040.41 ",  -   ,"  1,385,454.24 ","  8,528,183.77 ","  3,426.36 ",  -   ,"  2,759,362.59 ",  -   ,  -   ,  -   ,  -   ,"  22,875.04 ","  24,491.33 ",  -   ,  -   ,"  453,828.00 ",  727.50 ,"  13,414,389.24 ","  20,264,152.13 ",  -   ,"  20,264,152.13 ","  34,508,032.19 "
  291 , อบต.เหล่ากลาง, ฆ้องชัย, กาฬสินธุ์,  25.00 ,"  4,494.00 ","  16,028.00 ","  1,020.00 ",  -   ,"  8,148.00 ",  -   ,  -   ,  -   ,  -   ,  -   ,"  21,569.00 ","  169,064.50 ",  -   ,"  164,875.00 ","  380,704.50 ","  256,314.14 ",  -   ,"  1,719,549.40 ","  8,298,558.83 ","  4,278.00 ",  -   ,"  3,425,156.86 ",  -   ,  -   ,  -   ,  -   ,"  28,560.74 ","  30,439.82 ",  -   ,  10.00 ,"  409,977.00 ","  1,105.80 ","  14,173,950.59 ","  3,252,973.00 ","  19,395,901.00 ","  22,648,874.00 ","  37,203,529.09 "
  292 , อบต.ดงพยุง, ดอนจาน, กาฬสินธุ์,  38.21 ,"  5,449.00 ","  14,776.27 ",  -   ,"  1,550.00 ","  4,697.00 ",  -   ,  -   ,  -   ,  -   ,  -   ,"  3,490.00 ","  139,629.36 ","  591,910.00 ","  161,489.80 ","  917,542.43 ","  278,158.06 ",  -   ,"  2,078,839.30 ","  8,298,580.31 ","  5,173.02 ",  -   ,"  4,140,841.34 ",  -   ,  -   ,  -   ,  -   ,"  24,804.53 ","  46,533.57 ",  -   ,  -   ,"  132,627.00 ",  -   ,"  15,005,557.13 ","  16,849,198.00 ","  4,814,016.60 ","  21,663,214.60 ","  37,586,314.16 "
  293 , อบต.นาจำปา, ดอนจาน, กาฬสินธุ์,  39.12 ,"  4,941.00 ","  7,701.53 ",  -   ,  -   ,"  5,400.00 ",  -   ,  -   ,  -   ,  -   ,  -   ,"  2,029.00 ","  48,614.30 ","  239,510.00 ","  254,823.00 ","  558,077.83 ","  265,227.23 ",  -   ,"  1,864,951.47 ","  8,393,880.22 ","  28,151.79 ",  -   ,"  3,714,226.07 ",  -   ,  -   ,  -   ,  -   ,"  32,612.02 ","  47,401.29 ",  -   ,"  58,040.00 ","  266,426.00 ",  -   ,"  14,670,916.09 ","  16,476,785.00 ","  23,119,872.00 ","  39,596,657.00 ","  54,825,650.92 "
  294 , อบต.สะอาดไชยศรี, ดอนจาน, กาฬสินธุ์,  49.38 ,"  3,874.00 ",  255.94 ,  -   ,  160.00 ,"  1,608.00 ",  -   ,  -   ,  -   ,  -   ,  -   ,"  27,715.30 ","  17,415.58 ","  361,455.00 ","  188,040.00 ","  596,649.82 ","  241,443.68 ",  -   ,"  1,474,647.30 ","  8,942,226.70 ","  3,658.37 ",  -   ,"  2,937,180.03 ",  -   ,  -   ,  -   ,  -   ,"  32,058.19 ","  18,452.88 ",  -   ,"  8,050.00 ","  102,660.00 ",  -   ,"  13,760,377.15 ","  11,743,298.00 ","  540,832.00 ","  12,284,130.00 ","  26,641,156.97 "
  295 , อบต.ยางอู้ม, ท่าคันโท, กาฬสินธุ์,  35.00 ,"  4,612.00 ","  7,466.85 ",  -   ,"  2,020.00 ","  4,952.00 ",  -   ,  -   ,  -   ,  -   ,  -   ,"  121,910.00 ","  69,793.74 ","  910,350.00 ","  26,284.00 ","  1,142,776.59 ","  257,768.87 ",  -   ,"  1,743,527.91 ","  8,434,048.56 ","  4,339.30 ",  -   ,"  3,472,944.66 ",  -   ,  -   ,  -   ,  -   ,"  15,156.16 ","  44,680.98 ",  -   ,  -   ,"  122,067.20 ",  843.90 ,"  14,095,377.54 ","  13,333,123.00 ",  -   ,"  13,333,123.00 ","  28,571,277.13 "
  296 , อบต.นาคู, นาคู, กาฬสินธุ์,  55.50 ,"  4,211.00 ","  8,063.90 ",  -   ,  8.40 ,"  7,400.00 ","  7,640.00 ",  -   ,  -   ,  -   ,  -   ,"  130,058.00 ","  132,658.75 ","  115,170.00 ","  49,700.00 ","  450,699.05 ","  249,687.08 ",  -   ,"  1,610,629.81 ","  8,664,646.97 ","  11,551.37 ",  -   ,"  3,208,234.20 ",  -   ,  -   ,  -   ,  -   ,"  19,224.08 ","  28,515.50 ",  -   ,"  14,050.00 ","  417,738.00 ",  -   ,"  14,224,277.01 ","  14,999,018.00 ",  -   ,"  14,999,018.00 ","  29,673,994.06 "
  297 , อบต.โนนนาจาน, นาคู, กาฬสินธุ์,  45.00 ,"  4,785.00 ","  21,172.81 ",  -   ,  -   ,"  11,052.00 ",  -   ,  -   ,  -   ,  -   ,  -   ,"  9,128.00 ","  72,290.31 ",  -   ,"  222,600.00 ","  336,243.12 ","  262,294.67 ",  -   ,"  1,816,472.60 ","  8,299,897.07 ","  4,475.11 ",  -   ,"  3,617,544.30 ",  -   ,  -   ,  -   ,  -   ,"  29,876.70 ","  32,081.69 ",  -   ,"  4,031.00 ","  195,946.00 ",  931.20 ,"  14,263,550.34 ","  16,716,500.00 ","  18,848,297.00 ","  35,564,797.00 ","  50,164,590.46 "
  298 , อบต.บ่อแก้ว, นาคู, กาฬสินธุ์,  40.09 ,"  8,660.00 ","  13,667.23 ",  -   ,  -   ,"  17,400.00 ",  -   ,  -   ,  -   ,  -   ,  -   ,"  222,759.80 ","  174,040.80 ",  -   ,"  140,200.00 ","  568,067.83 ","  352,302.73 ",  -   ,"  3,297,032.79 ","  9,412,683.15 ","  8,166.49 ",  -   ,"  6,566,782.04 ",  -   ,  -   ,  -   ,  -   ,"  54,521.04 ","  58,304.34 ",  -   ,"  6,570.00 ","  413,190.00 ",  -   ,"  20,169,552.58 ","  36,297,636.00 ","  215,602.56 ","  36,513,238.56 ","  57,250,858.97 "
  299 , อบต.สายนาวัง, นาคู, กาฬสินธุ์,  60.00 ,"  4,129.00 ","  3,354.01 ",  -   ,  -   ,"  16,204.00 ",  -   ,  -   ,  -   ,  -   ,  -   ,"  35,074.40 ","  427,344.66 ",  -   ,"  45,970.10 ","  527,947.17 ","  247,193.31 ",  -   ,"  1,568,825.23 ","  8,671,145.63 ","  3,880.94 ",  -   ,"  3,124,593.07 ",  -   ,  -   ,  -   ,  -   ,"  25,909.93 ","  27,734.65 ",  -   ,"  2,000.00 ","  332,225.00 ",  640.20 ,"  14,004,147.96 ","  14,153,102.00 ",  -   ,"  14,153,102.00 ","  28,685,197.13 "
  300 , อบต.นามน, นามน, กาฬสินธุ์,  49.00 ,"  2,909.00 ","  5,020.85 ",  -   ,  153.00 ,"  8,300.00 ",  -   ,  -   ,  -   ,  -   ,  -   ,  700.00 ,"  28,113.65 ","  519,075.00 ","  46,297.70 ","  607,660.20 ","  218,237.40 ",  -   ,"  1,093,096.67 ","  9,842,579.00 ","  2,712.41 ",  -   ,"  2,177,222.77 ",  -   ,  -   ,  -   ,  -   ,"  18,108.62 ","  19,338.42 ",  -   ,"  6,079.10 ","  571,302.00 ",  -   ,"  13,948,676.39 ","  9,680,004.00 ","  17,034,387.00 ","  26,714,391.00 ","  41,270,727.59 "
  301 , อบต.ยอดแกง, นามน, กาฬสินธุ์,  60.27 ,"  8,324.00 ","  37,663.35 ","  8,625.00 ",  47.00 ,"  57,417.00 ",  -   ,  -   ,  -   ,  -   ,  -   ,"  226,289.51 ","  790,986.08 ",  -   ,"  239,640.00 ","  1,360,667.94 ","  343,897.65 ",  -   ,"  3,159,643.18 ","  9,253,314.00 ","  7,850.54 ",  -   ,"  6,293,512.16 ",  -   ,  -   ,  -   ,  -   ,"  52,411.73 ","  55,915.56 ",  -   ,"  2,550.00 ","  1,149,455.00 ",  -   ,"  20,318,549.82 ","  27,591,603.00 ","  7,229,815.00 ","  34,821,418.00 ","  56,500,635.76 "
  302 , อบต.หนองบัว, นามน, กาฬสินธุ์,  40.90 ,"  4,382.00 ","  9,358.14 ",  -   ,  -   ,"  5,000.00 ",  -   ,  -   ,  -   ,  -   ,  -   ,"  47,824.45 ","  81,573.85 ","  297,835.00 ","  144,452.20 ","  586,043.64 ","  253,312.37 ",  -   ,"  1,669,618.68 ","  8,461,969.81 ","  4,156.53 ",  -   ,"  3,325,436.52 ",  -   ,  -   ,  -   ,  -   ,"  27,616.28 ","  29,526.89 ",  -   ,"  2,020.00 ","  286,483.00 ","  1,193.10 ","  14,061,333.18 ","  15,997,302.00 ","  6,111,195.90 ","  22,108,497.90 ","  36,755,874.72 "
  303 , อบต.หลักเหลี่ยม, นามน, กาฬสินธุ์,  38.05 ,"  5,827.00 ","  9,382.80 ",  -   ,  3.00 ,"  10,722.00 ",  -   ,  -   ,  -   ,  -   ,  -   ,"  52,880.00 ","  129,787.44 ","  370,020.00 ","  73,830.00 ","  646,625.24 ","  287,463.69 ",  -   ,"  2,232,061.01 ","  8,425,678.35 ","  9,427.40 ",  -   ,"  4,446,126.30 ",  -   ,  -   ,  -   ,  -   ,"  37,117.63 ","  39,523.59 ",  -   ,"  2,580.00 ","  223,163.00 ",  1.00 ,"  15,703,141.97 ","  17,506,978.00 ","  1,442,644.00 ","  18,949,622.00 ","  35,299,389.21 "
  304 , อบต.หนองกุง, เมืองกาฬสินธุ์, กาฬสินธุ์,  35.47 ,"  4,852.00 ","  9,423.45 ",  -   ,  -   ,"  135,767.00 ",  -   ,  -   ,  -   ,  -   ,  -   ,"  114,080.05 ","  157,053.42 ","  256,878.00 ","  223,311.00 ","  896,512.92 ","  262,387.06 ",  -   ,"  1,818,815.81 ","  7,400,984.35 ","  4,506.23 ",  -   ,"  3,622,598.59 ",  -   ,  -   ,  -   ,  -   ,"  30,084.48 ","  32,165.67 ",  -   ,  530.00 ,"  636,017.00 ",  -   ,"  13,808,089.19 ","  13,034,404.00 ","  1,693,297.00 ","  14,727,701.00 ","  29,432,303.11 "
  305 , อบต.คลองขาม, ยางตลาด, กาฬสินธุ์,  74.00 ,"  14,935.00 ","  1,247.60 ",  -   ,"  3,230.12 ","  59,822.00 ",  200.00 ,  -   ,  -   ,  -   ,  -   ,"  72,726.70 ","  300,569.35 ",  -   ,"  587,659.00 ","  1,025,454.77 ","  494,565.32 ",  -   ,"  5,636,220.45 ","  11,350,003.79 ","  13,970.46 ",  -   ,"  11,225,952.83 ","  3,569.60 ",  -   ,  -   ,  185.00 ,"  93,269.40 ","  99,686.90 ",  -   ,"  22,398.00 ","  966,478.00 ","  66,400.00 ","  29,972,699.75 ","  57,564,420.92 ","  561,800.40 ","  58,126,221.32 ","  89,124,375.84 "
  306 , อบต.ดอนสมบูรณ์, ยางตลาด, กาฬสินธุ์,  16.33 ,"  8,003.00 ","  14,394.50 ","  3,824.00 ",  130.60 ,"  30,067.00 ",  -   ,  -   ,  -   ,  -   ,  -   ,"  391,305.00 ","  1,144,294.02 ",  -   ,"  240,046.20 ","  1,824,061.32 ","  337,570.78 ",  -   ,"  3,055,403.91 ","  9,158,666.74 ","  7,585.52 ",  -   ,"  6,085,791.93 ",  -   ,  -   ,  -   ,  -   ,"  38,059.68 ","  66,643.49 ",  -   ,  -   ,"  452,486.00 ","  2,085.50 ","  19,204,293.55 ","  34,209,143.48 ",  -   ,"  34,209,143.48 ","  55,237,498.35 "
  307 , อบต.นาเชือก, ยางตลาด, กาฬสินธุ์,  48.20 ,"  7,434.00 ","  31,480.13 ","  2,279.77 ","  1,365.60 ","  40,270.80 ",  -   ,  -   ,  -   ,  -   ,  -   ,"  228,615.40 ","  152,235.90 ","  1,346,323.00 ","  261,360.44 ","  2,063,931.04 ","  323,808.64 ",  -   ,"  2,829,552.26 ","  8,956,041.29 ","  7,038.51 ",  -   ,"  5,636,147.26 ",  -   ,  -   ,  -   ,  -   ,"  53,528.49 ","  43,549.75 ",  -   ,  510.00 ,"  1,019,406.00 ","  3,201.00 ","  18,872,783.20 ","  11,304,309.21 ",  -   ,"  11,304,309.21 ","  32,241,023.45 "
  308 , อบต.นาดี, ยางตลาด, กาฬสินธุ์,  32.00 ,"  5,669.00 ","  2,878.36 ",  -   ,  -   ,"  2,600.00 ",  -   ,  -   ,  -   ,  -   ,  -   ,"  108,630.00 ","  130,891.46 ","  1,290,937.00 ","  142,893.25 ","  1,678,830.07 ","  283,561.34 ",  -   ,"  2,166,809.93 ","  8,388,473.37 ","  6,295.67 ",  -   ,"  4,315,650.24 ",  -   ,  -   ,  -   ,  -   ,"  35,814.26 ","  38,313.31 ",  -   ,  -   ,"  507,637.00 ","  2,427.40 ","  15,744,982.52 ","  19,456,306.82 ","  3,194,083.00 ","  22,650,389.82 ","  40,074,202.41 "
  309 , อบต.ยางตลาด, ยางตลาด, กาฬสินธุ์,  51.00 ,"  7,091.00 ","  94,048.66 ",  -   ,  -   ,"  165,920.00 ",  -   ,  -   ,  -   ,  -   ,  -   ,"  129,486.22 ","  112,958.83 ","  915,739.00 ","  60,607.08 ","  1,478,759.79 ","  317,227.75 ",  -   ,"  2,720,795.06 ","  8,834,832.12 ","  7,013.70 ",  -   ,"  5,419,267.98 ",  -   ,  -   ,  -   ,  -   ,"  45,076.35 ","  48,135.33 ",  -   ,  -   ,"  916,665.00 ",  30.00 ,"  18,309,043.29 ","  23,775,210.00 ","  586,918.00 ","  24,362,128.00 ","  44,149,931.08 "
  310 , อบต.เว่อ, ยางตลาด, กาฬสินธุ์,  22.00 ,"  4,269.00 ","  4,291.77 ",  -   ,  -   ,"  1,800.00 ",  -   ,  -   ,  -   ,  -   ,  -   ,"  35,086.60 ","  123,501.04 ","  335,640.00 ","  107,854.14 ","  608,173.55 ","  250,726.20 ",  -   ,"  1,628,086.26 ","  7,795,520.91 ","  4,063.90 ",  -   ,"  3,243,177.98 ",  -   ,  -   ,  -   ,  -   ,"  21,580.11 ","  23,374.71 ",  -   ,"  11,020.00 ","  312,959.00 ",  -   ,"  13,290,509.07 ","  14,996,470.00 ","  4,431,028.00 ","  19,427,498.00 ","  33,326,180.62 "
  311 , อบต.หนองตอกแป้น, ยางตลาด, กาฬสินธุ์,  21.14 ,"  3,779.00 ","  5,574.96 ",  -   ,  -   ,"  10,544.00 ",  -   ,  -   ,  -   ,  -   ,  -   ,"  8,750.00 ","  155,601.57 ","  170,610.00 ","  7,700.00 ","  358,780.53 ","  239,342.36 ",  -   ,"  1,439,724.20 ","  8,848,050.88 ","  4,113.19 ",  -   ,"  2,867,445.74 ",  -   ,  -   ,  -   ,  -   ,"  44,230.44 ","  4,988.88 ",  -   ,  -   ,"  437,972.00 ","  23,955.70 ","  13,909,823.39 ","  13,215,125.00 ","  503,679.00 ","  13,718,804.00 ","  27,987,407.92 "
  312 , อบต.หนองอิเฒ่า, ยางตลาด, กาฬสินธุ์,  45.00 ,"  4,917.00 ","  9,841.90 ",  -   ,  -   ,"  1,400.00 ",  -   ,  -   ,  -   ,  -   ,  -   ,"  5,617.70 ","  113,166.82 ","  322,860.00 ","  10,275.36 ","  463,161.78 ","  265,804.50 ",  -   ,"  1,875,353.90 ","  7,680,226.73 ","  4,657.13 ",  -   ,"  3,735,372.89 ",  -   ,  -   ,  -   ,  -   ,"  22,847.90 ","  41,427.73 ",  -   ,"  16,560.00 ","  537,134.00 ","  16,350.00 ","  14,195,734.78 ","  16,845,630.13 ",  -   ,"  16,845,630.13 ","  31,504,526.69 "
  313 , อบต.หัวงัว, ยางตลาด, กาฬสินธุ์,  37.00 ,"  7,594.00 ","  30,263.24 ",  -   ,  -   ,"  139,032.00 ",  -   ,  -   ,  -   ,  -   ,  -   ,"  275,389.50 ","  832,843.95 ","  233,505.00 ","  53,936.00 ","  1,564,969.69 ","  328,103.56 ",  -   ,"  2,899,865.41 ","  9,072,680.22 ","  7,213.56 ",  -   ,"  5,776,052.37 ",  -   ,  -   ,  -   ,  -   ,"  48,092.36 ","  51,315.83 ",  -   ,  -   ,"  1,770,099.00 ",  -   ,"  19,953,422.31 ","  24,167,253.00 ","  1,266,952.00 ","  25,434,205.00 ","  46,952,597.00 "
  314 , อบต.สามัคคี, ร่องคำ, กาฬสินธุ์,  34.99 ,"  5,616.00 ","  14,990.15 ",  -   ,  -   ,"  9,209.60 ",  -   ,  -   ,  -   ,  -   ,  -   ,"  4,100.00 ","  351,378.64 ",  -   ,"  459,556.86 ","  839,235.25 ","  281,714.05 ",  -   ,"  2,136,262.66 ","  8,309,153.21 ","  5,283.37 ",  -   ,"  4,254,725.20 ",  -   ,  -   ,  -   ,  10.00 ,"  16,569.69 ","  28,600.85 ",  30.00 ,  -   ,"  626,540.00 ","  7,295.70 ","  15,666,184.73 ","  19,261,314.92 ","  21,222.00 ","  19,282,536.92 ","  35,787,956.90 "
  315 , อบต.เหล่าอ้อย, ร่องคำ, กาฬสินธุ์,  25.81 ,"  4,832.00 ","  10,059.22 ",  -   ,  -   ,"  7,824.00 ",  -   ,  -   ,  -   ,  -   ,  -   ,"  37,295.00 ","  169,687.53 ",  -   ,"  350,703.99 ","  575,569.74 ","  264,211.24 ",  -   ,"  1,849,239.28 ","  7,929,753.55 ","  4,594.89 ",  -   ,"  3,683,397.00 ",  -   ,  -   ,  -   ,  -   ,"  30,676.35 ","  32,725.97 ",  -   ,"  1,000.00 ","  468,089.60 ",  552.90 ,"  14,264,240.78 ","  19,995,576.45 ",  -   ,"  19,995,576.45 ","  34,835,386.97 "
  316 , อบต.ศรีสมเด็จ, สมเด็จ, กาฬสินธุ์,  23.00 ,"  5,693.00 ","  22,470.27 ",  -   ,  -   ,"  18,136.00 ",  -   ,  -   ,  -   ,  -   ,  -   ,"  15,799.75 ","  131,344.81 ","  702,956.00 ","  6,695.00 ","  897,401.83 ","  282,268.26 ",  -   ,"  2,145,404.06 ","  8,605,538.70 ","  5,306.93 ",  -   ,"  4,272,946.73 ",  -   ,"  1,561.70 ",  -   ,  10.00 ,"  35,430.17 ","  42,837.25 ",  -   ,  500.00 ,"  401,376.00 ",  -   ,"  15,793,179.80 ","  16,701,243.00 ",  -   ,"  16,701,243.00 ","  33,391,824.63 "
  317 , อบต.สมเด็จ, สมเด็จ, กาฬสินธุ์,  26.00 ,"  6,093.00 ","  9,294.56 ",  -   ,  -   ,"  107,360.00 ",  324.00 ,  -   ,  -   ,  -   ,  -   ,"  55,866.00 ","  189,305.21 ","  85,728.00 ","  217,045.00 ","  664,922.77 ","  293,097.85 ",  -   ,"  2,322,833.72 ","  8,421,812.17 ","  5,728.56 ",  -   ,"  4,626,049.54 ",  -   ,  -   ,  -   ,  -   ,"  38,238.39 ","  41,033.22 ",  -   ,  -   ,"  1,358,961.00 ","  1,862.40 ","  17,109,616.85 ","  22,962,044.00 ","  4,458,537.00 ","  27,420,581.00 ","  45,195,120.62 "
  318 , อบต.หนองแวง, สมเด็จ, กาฬสินธุ์,  77.00 ,"  10,143.00 ","  60,945.70 ",  365.00 ,  795.50 ,"  126,435.00 ",  -   ,  -   ,  -   ,  -   ,  -   ,"  27,513.90 ","  166,946.54 ",  -   ,"  216,700.00 ","  599,701.64 ","  384,699.15 ",  -   ,"  3,830,020.25 ","  9,810,418.18 ","  9,500.17 ",  -   ,"  7,628,522.55 ",  -   ,  -   ,  -   ,  -   ,"  63,411.64 ","  67,748.87 ",  -   ,"  2,181.00 ","  1,042,593.00 ",  359.20 ,"  22,839,454.01 ","  32,366,990.00 ","  35,017,847.00 ","  67,384,837.00 ","  90,823,992.65 "
  319 , อบต.หมูม่น, สมเด็จ, กาฬสินธุ์,  49.00 ,"  6,971.00 ","  8,482.46 ",  746.50 ,"  1,188.24 ","  16,124.00 ",  -   ,  -   ,  -   ,  -   ,  -   ,"  24,509.00 ","  112,885.37 ","  192,235.00 ","  50,956.04 ","  407,126.61 ","  314,526.11 ",  -   ,"  2,675,146.75 ","  8,835,584.02 ","  6,600.90 ",  -   ,"  5,327,770.50 ",  -   ,  -   ,  -   ,  -   ,"  56,810.78 ","  34,522.75 ",  -   ,"  9,700.00 ","  535,356.00 ","  1,978.80 ","  17,797,996.61 ","  34,552,836.00 ",  -   ,"  34,552,836.00 ","  52,757,959.22 "
